Temperatur	Gewicht	Zeit
25.964	241.969	48.6
25.9724	242.892	48.8
25.9661	242.294	49.0
25.9607	242.45	49.2
25.9619	242.567	49.4
25.9714	242.086	49.6
25.9666	241.449	49.8
25.9739	241.618	50.0
25.9871	242.463	50.2
25.983	243.061	50.4
25.9819	242.099	50.6
25.9762	242.749	50.8
25.9705	242.58	51.0
25.9676	240.721	51.2
25.9838	242.411	51.4
25.9628	242.034	51.6
25.9834	241.657	51.8
25.9615	242.151	52.0
25.9628	242.242	52.2
25.9794	242.827	52.4
25.9739	242.463	52.6
25.9808	242.281	52.8
25.9809	241.722	53.0
25.9573	241.904	53.2
25.9686	241.553	53.4
25.9695	242.372	53.6
25.988	241.176	53.8
25.9691	242.58	54.0
25.9666	241.813	54.2
25.9718	241.982	54.4
25.9596	241.878	54.6
25.9851	242.268	54.8
25.9853	242.645	55.0
25.9766	243.347	55.2
25.9756	242.177	55.4
25.9714	242.151	55.6
25.9699	241.917	55.8
25.9691	242.905	56.0
25.9893	242.138	56.2
25.9766	242.177	56.4
25.9766	242.658	56.6
25.963	241.124	56.8
25.9689	242.229	57.0
25.9871	242.307	57.2
25.9703	242.463	57.4
25.9666	242.32	57.6
25.9663	242.892	57.8
25.9798	242.086	58.0
25.9739	242.983	58.2
25.9705	242.801	58.4
25.983	241.488	58.6
25.9798	242.034	58.8
25.9821	242.593	59.0
25.9863	241.254	59.2
25.9903	242.463	59.4
25.9628	242.385	59.6
25.9861	242.177	59.8
25.9781	242.086	60.0
25.9808	242.957	60.2
25.9682	242.684	60.4
25.9766	242.294	60.6
25.9619	242.723	60.8
25.9718	242.957	61.0
25.9602	242.203	61.2
25.9672	242.307	61.4
25.968	243.477	61.6
25.9743	241.293	61.8
25.9808	241.865	62.0
25.9573	243.009	62.2
25.9676	241.553	62.4
25.9611	243.126	62.6
25.9586	243.113	62.8
25.9579	241.982	63.0
25.9624	243.009	63.2
25.9508	242.918	63.4
25.9546	241.917	63.6
25.9798	242.554	63.8
25.9851	243.893	64.0
25.9615	242.45	64.2
25.9752	242.736	64.4
25.9607	242.489	64.6
25.9563	242.749	64.8
25.964	242.19	65.0
25.9748	242.19	65.2
25.9718	243.204	65.4
25.9851	242.541	65.6
25.9624	242.19	65.8
25.9735	241.631	66.0
25.9844	241.709	66.2
25.9666	242.775	66.4
25.964	241.878	66.6
25.9785	242.788	66.8
